Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,Fc5.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
2,Fc3.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
3,Fc1.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
4,Fcz.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
5,Fc2.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
6,Fc4.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
7,Fc6.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
8,C5..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
9,C3..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
10,C1..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
11,Cz..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
12,C2..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
13,C4..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
14,C6..            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
15,Cp5.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
16,Cp3.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
17,Cp1.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
18,Cpz.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
19,Cp2.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
20,Cp4.            ,BCI2000                                                                         ,uV      ,-8092.000000,8092.000000,-8092,8092,HP:0Hz LP:0Hz N:0Hz                                                             ,160,                                
